nameAr,barcode,gtin,activeIngredients,strength,dosageForm,manufacturer,officialPrice,requiresPrescription,source
LONSURF 15/6.14 MG 20 F.C. TABS.,,,TRIFLURIDINE+TIPIRACIL,,ORAL.SOLID,TAIHO PHARMACEUTICAL CO. LTD. > SERVIER,21510.0,,Elhafez Reference 25065
LONSURF 20/8.19 MG 20 F.C. TABS.,,,TRIFLURIDINE+TIPIRACIL,,ORAL.SOLID,TAIHO PHARMACEUTICAL CO. LTD. > SERVIER,27510.0,,Elhafez Reference 25065
LOOBY 16 LOZENGES,,,MENTHOL+VITAMIN C,,ORAL.SOLID,DAWA > MERGE PHARMA,30.0,,Elhafez Reference 25065
LOOBY 192 LOZENGES,,,MENTHOL+VITAMIN C,,ORAL.SOLID,DAWA > MERGE PHARMA,360.0,,Elhafez Reference 25065
LOPERASIN 1MG/5ML  SYRUP 30ML(CANCELLED),,,LOPERAMIDE,,ORAL.LIQUID,ALEXANDRIA,1.35,,Elhafez Reference 25065
LOPERASIN 2MG 6 CAPS. (N/A),,,LOPERAMIDE,,ORAL.SOLID,ALEXANDRIA,2.55,,Elhafez Reference 25065
LOPID 600MG 30 F.C. TAB.,,,GEMFIBROZIL,,ORAL.SOLID,PFIZER,54.0,,Elhafez Reference 25065
LOPODIUM 2MG 10CAPS (N/A),,,LOPERAMIDE,,ORAL.SOLID,MEMPHIS,3.2,,Elhafez Reference 25065
LOPRAL 30MG 5 CAPS.,,,LANSOPRAZOLE,,ORAL.SOLID,UP PHARMA,27.5,,Elhafez Reference 25065
LOPRANEST 2 MG 20 ORODISPERSIBLE FILMS,,,LOPERAMIDE,,UNKNOWN,NERHADOU INTERNATIONAL CO.,90.0,,Elhafez Reference 25065
LOPRECOUGH SYRUP 100 ML,,,ACETYLCYSTEINE+CHLORPHENIRAMINE,,ORAL.LIQUID,ATCO PHARMA,45.0,,Elhafez Reference 25065
LOPRO IRON ADULT  14 SACHETS,,,IRON+LACTOFERRIN+COLOSTRUM+VIT C+VIT B COMPLEX,,EFF,MEDCARE > MEDLIFE PHARM,185.0,,Elhafez Reference 25065
LOPRO IRON KIDS  10 SACHETS,,,IRON+LACTOFERRIN+COLOSTRUM+VIT C+VIT B COMPLEX,,EFF,MEDCARE > MEDLIFE PHARM,50.0,,Elhafez Reference 25065
LORA 15 SACHETS,,,MYO-INOSITOL+D-SHIRO-INOSITOL+L-CARNITINE+L-ARGININE+VITAMIN B6+VITAMIN B9+VITAMIN B12+VITAMIN D3+VITAMIN C+VITAMIN E+SELENIUM+ZINC+CO-ENZYME Q10+OMEGA-3+VITEX EXTRACT,,EFF,SCIENTIFIC CENTER > ESSENCE PHARMA,250.0,,Elhafez Reference 25065
LORA C 1 GM 14 SACHETS,,,VITAMIN C,,EFF,SWIVEL NUTRIENT > LUMEIRE PHARMA,19.5,,Elhafez Reference 25065
LORAFAST 2.5MG/5ML SYPUP 100 ML,,,DESLORATADINE,,ORAL.LIQUID,EGYPHAR,26.0,,Elhafez Reference 25065
LORAFEDRINE 5/240MG 20 EXT. REL.TABS.,,,DESLORATADINE+PSEUDOEPHEDRINE,,ORAL.SOLID,MARCYRL > PHARMA RIGHT GROUP,118.0,,Elhafez Reference 25065
LORAL 30MG 10 CAPS.,,,LANSOPRAZOLE,,ORAL.SOLID,PHARCO,30.0,,Elhafez Reference 25065
LORANO 10MG 20 TAB.,,,LORATADINE,,ORAL.SOLID,MINA PHARM > HEXAL EGYPT S.A.E.,23.0,,Elhafez Reference 25065
LORANO 5MG/5ML SYRUP 100ML,,,LORATADINE,,ORAL.LIQUID,MINA PHARM,10.5,,Elhafez Reference 25065
LORANO 5MG/5ML SYRUP 60ML,,,LORATADINE,,ORAL.LIQUID,MINA PHARM,5.0,,Elhafez Reference 25065
LORANOVIL 8MG 20 F.C. TABS.,,,LORNOXICAM,,ORAL.SOLID,COPAD PHARMA,31.0,,Elhafez Reference 25065
LORASWAB 5MG/5ML 20 UNIDOSE ORAL SOLN.* 5 ML,,,LORATADINE,,ORAL.LIQUID,UNISWAB,40.0,,Elhafez Reference 25065
LORATADINE 10MG 10 TAB.,,,LORATADINE,,ORAL.SOLID,MISR,25.5,,Elhafez Reference 25065
LORATADINE 5MG/5ML ORAL SUSP. 60 ML,,,LORATADINE,,ORAL.LIQUID,MISR,23.5,,Elhafez Reference 25065
LORATAN 10MG M.R. 10 TAB. (N/A),,,LORATADINE,,ORAL.SOLID,UP PHARMA,16.5,,Elhafez Reference 25065
LORATAN 5MG/5ML SYRUP 100ML (N/A),,,LORATADINE,,ORAL.LIQUID,UP PHARMA,15.0,,Elhafez Reference 25065
LORATIN-D 14 REPETABS (N/A),,,LORATADINE+PSEUDOEPHEDRINE,,ORAL.SOLID,SIGMA,12.8,,Elhafez Reference 25065
LORAZ 50/12.5MG 14 TAB.,,,HYDROCHLOROTHIAZIDE+LOSARTAN,,ORAL.SOLID,EGPI,36.0,,Elhafez Reference 25065
LORAZ FORTE 100/25MG 28 TAB.,,,HYDROCHLOROTHIAZIDE+LOSARTAN,,ORAL.SOLID,EGPI,108.0,,Elhafez Reference 25065
LORBRENA 100 MG 30 F.C.TABS.,,,LORLATINIB,,ORAL.SOLID,PFIZER,123364.0,,Elhafez Reference 25065
LORBRENA 25 MG 30 F.C.TABS.,,,LORLATINIB,,ORAL.SOLID,PFIZER,41703.0,,Elhafez Reference 25065
LORGEQUE 8MG 20 F.C.TAB.,,,LORNOXICAM,,ORAL.SOLID,EL-OBOUR > SPIMACO MISR,21.0,,Elhafez Reference 25065
LORIN-D 10 CAPS. (N/A),,,LORATADINE+PSEUDOEPHEDRINE,,ORAL.SOLID,EVA PHARMA,5.25,,Elhafez Reference 25065
LORINE 10MG 10 TAB. (N/A),,,LORATADINE,,ORAL.SOLID,SPIMACO > EIMC,16.8,,Elhafez Reference 25065
LORINE 5MG/5ML SYRUP 100ML (N/A),,,LORATADINE,,ORAL.LIQUID,SPIMACO > EIMC,18.6,,Elhafez Reference 25065
