nameAr,barcode,gtin,activeIngredients,strength,dosageForm,manufacturer,officialPrice,requiresPrescription,source
1 2 3 (ONE TWO THREE) 20 F.C.TABS.,,,CHLORPHENIRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,,ORAL.SOLID,HIKMA PHARMA,10.0,,Elhafez Reference 25065
1 2 3 (ONE TWO THREE) EXTRA 20 F.C.TABS.,,,CHLORPHENIRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,,ORAL.SOLID,HIKMA PHARMA,64.0,,Elhafez Reference 25065
1 2 3 (ONE TWO THREE) SUSP. 120 ML,,,CHLORPHENIRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,,ORAL.LIQUID,HIKMA PHARMA,7.0,,Elhafez Reference 25065
2HC F.C.T 20 TABLETS,,,VITAMIN C 1 GM,,ORAL.SOLID,ORGANIX > NOVACURE,37.0,,Elhafez Reference 25065
2M WHITES BEEGU MARIN SPRAY,,,SEA WATER+EUCALYPTUS+GLYCERIN+HYALURONIC ACID,,UNKNOWN,NILL FACTORY COSMETICS > 2M WHITES PHARMA,32.0,,Elhafez Reference 25065
3 FLY 1200 MG 20 TABS.,,,PALMITOYLETHANOLAMIDE(PEA),,ORAL.SOLID,COPAD > DRUG PHARMA EGYPT,26.0,,Elhafez Reference 25065
3 FLY 300 MG 20 TABS.,,,PALMITOYLETHANOLAMIDE(PEA),,ORAL.SOLID,COPAD > DRUG PHARMA EGYPT,36.0,,Elhafez Reference 25065
3 FLY 400 MG 20 TABS,,,PALMITOYLETHANOLAMIDE,,ORAL.SOLID,COPAD EGYPT > DRUG PHARMA EGYPT,65.0,,Elhafez Reference 25065
3 FLY 600 MG 20 TABS.,,,PALMITOYLETHANOLAMIDE(PEA),,ORAL.SOLID,COPAD > DRUG PHARMA EGYPT,32.0,,Elhafez Reference 25065
4 WET INTIMATE GEL 100 ML,,,,,TOPICAL,TURKUAZ MEDICAL CO. > BROTHER PHARMA,40.0,,Elhafez Reference 25065
5-FLUOROURACIL-EBEWE 250MG/5ML I.V. VIAL,,,FLUOROURACIL,,INJECTION,EBEWE > NOVARTIS PHARMA SANDOZ DIVISION,47.5,,Elhafez Reference 25065
5-HT 200 MG 60 CAPS. (ILLEGAL IMPORT),,,L-5-HYDROXY-TRYPTOPHAN,,ORAL.SOLID,PURITANS PRIDE,44.0,,Elhafez Reference 25065
9999999999RR,,,,,ORAL.SOLID,DRUGEYR > DRUGEYE,12.0,,Elhafez Reference 25065
A-VITON 50.000 I.U. 20 CAPS.,,,VITAMIN A,,ORAL.SOLID,KAHIRA,5.0,,Elhafez Reference 25065
A.ONE SOAP 100 GM,,,,,SOAP,A ONE PHARM,9.5,,Elhafez Reference 25065
A.T.G FRESENIUS 20MG/ML CONC. VIAL 5 ML (CANCELLED),,,ANTI-T LYMPHOCYTE(ANTI-THYMOCYTE) IMMUNOGLOBULIN=A.T.G.,,INJECTION,FRESENIUS KABI,1100.0,,Elhafez Reference 25065
A1 CREAM 100 GM,,,CASTOR OIL+ZINC OXIDE+ARACHIS OIL+BEES WAX,,TOPICAL,EGPI > EGD,15.0,,Elhafez Reference 25065
A1 CREAM 50 GM,,,CASTOR OIL+ZINC OXIDE+ARACHIS OIL+BEES WAX,,TOPICAL,EGPI > EGD,25.0,,Elhafez Reference 25065
AAPE RENEWAL EYE CREAM 20 ML,,,,,TOPICAL,PROSTEMICS > NORMANDY PHARMA,420.0,,Elhafez Reference 25065
AAPE RENEWAL FACE CREAM 50 ML,,,,,TOPICAL,PROSTEMICS > NORMANDY PHARMA,750.0,,Elhafez Reference 25065
AAPE RENEWAL FACIAL TONER 130 ML,,,,,UNKNOWN,PROSTEMICS > NORMANDY PHARMA,370.0,,Elhafez Reference 25065
AAPE RENEWAL MASK 10 PCS,,,,,UNKNOWN,PROSTEMICS > NORMANDY PHARMA,950.0,,Elhafez Reference 25065
AAPE RENEWAL SERUM 40 ML,,,,,UNKNOWN,PROSTEMICS > NORMANDY PHARMA,750.0,,Elhafez Reference 25065
AAPE RENEWAL SUNSCREEN SPF 45 - 60 ML,,,,,TOPICAL,PROSTEMICS > NORMANDY PHARMA,225.0,,Elhafez Reference 25065
ABASAGLAR 100 I.U./ML 5 CARTRIDGES,,,INSULIN GLARGINE,,INJECTION,ELI LILLY > AKHNATON TRADING & DISTRIBUTION,645.0,,Elhafez Reference 25065
ABASAGLAR KWIKPEN 100 I.U./ML 5 PENS,,,INSULIN GLARGINE,,INJECTION,ELI LILLY > AKHNATON TRADING & DISTRIBUTION,725.0,,Elhafez Reference 25065
ABC IMMUNE 10 SACHETS,,,VITAMIN C+ZINC,,EFF,AUG PHARMA,40.0,,Elhafez Reference 25065
ABC LEMON & HONEY SYRUP 320 ML,,,NATURAL HONEY+CITRIC ACID+LEMON JUICE CONCENTRATE,,ORAL.LIQUID,AUG PHARMA,168.0,,Elhafez Reference 25065
ABC LEMON & HONEY SYRUP 60 ML,,,NATURAL HONEY+CITRIC ACID+LEMON JUICE CONCENTRATE,,ORAL.LIQUID,AUG PHARMA,54.0,,Elhafez Reference 25065
ABC MOCOTIVE TOPICAL SPRAY 70 ML,,,ALCOHOL 70%+TEA TREE OIL +VIT.E+CHAMOMILE +ALUMINIUM CHLORIDE HEXAHYDRATE+GLYCERIN,,SPRAY,> EGYSTAR PHARM,30.0,,Elhafez Reference 25065
ABC OMEGA 3-6-9 SYRUP 60 ML,,,WHEAT GERM OIL,,ORAL.LIQUID,AUG PHARMA,88.0,,Elhafez Reference 25065
ABDOMINAL BELT,,,,,UNKNOWN,,170.0,,Elhafez Reference 25065
ABERTO CREAM 75 GM,,,GLYCERIN+EXT (LICORICE-GREEN-CUCUMBER)+PARAFFIN OIL+VITAMIN E&C+KOJIC ACID+TITANIUM DIOXIDE,,TOPICAL,COSMOPACK > MIRACLE,49.9,,Elhafez Reference 25065
ABEVAC 1MG/ML VIAL,,,BEE VENOM,,INJECTION,VACSERA,38.0,,Elhafez Reference 25065
ABEVMY 100MG/4ML CONC. VIAL FOR I.V. INF.,,,BEVACIZUMAB,,INJECTION,MYLAN,4940.0,,Elhafez Reference 25065
ABEVMY 400MG/16ML CONC. VIAL FOR I.V. INF.,,,BEVACIZUMAB,,INJECTION,MYLAN,17081.0,,Elhafez Reference 25065
ABILAXINE 10MG 5 ADULT SUPP.,,,BISACODYL,,RECTAL,GLAXO SMITHKLINE,4.0,,Elhafez Reference 25065
ABILAXINE 5 MG 20 COATED TAB.,,,BISACODYL,,ORAL.SOLID,GLAXO SMITHKLINE,4.5,,Elhafez Reference 25065
ABILAXINE 5MG 5 INFANTILE SUPP.,,,BISACODYL,,RECTAL,GLAXO SMITHKLINE,3.2,,Elhafez Reference 25065
ABILIA 15MG 30 F.C.TABS.,,,ARIPIPRAZOLE,,ORAL.SOLID,CHEMIPHARM,105.0,,Elhafez Reference 25065
ABILIA 20MG 30 F.C.TABS.,,,ARIPIPRAZOLE,,ORAL.SOLID,CHEMIPHARM,120.0,,Elhafez Reference 25065
ABILIFY 10 MG 10 DISCMELT ORALLY DIS.TABS. (N/A),,,ARIPIPRAZOLE,,ORAL.SOLID,BRISTOL-MYERS SQUIBB > OTSUKA,190.0,,Elhafez Reference 25065
ABILIFY 10 MG 10 TABS.,,,ARIPIPRAZOLE,,ORAL.SOLID,OTSUKA,220.5,,Elhafez Reference 25065
ABILIFY 15 MG 10 DISCMELT ORALLY DIS.TABS. (N/A),,,ARIPIPRAZOLE,,ORAL.SOLID,BRISTOL-MYERS SQUIBB > OTSUKA,330.5,,Elhafez Reference 25065
ABILIFY 15 MG 10 TABS.,,,ARIPIPRAZOLE,,ORAL.SOLID,OTSUKA,330.5,,Elhafez Reference 25065
ABILIFY 5 MG 10 TABS.,,,ARIPIPRAZOLE,,ORAL.SOLID,OTSUKA,134.5,,Elhafez Reference 25065
ABILIFY MAINTENA 300 MG I.M. PREFILLED SYRINGE,,,ARIPIPRAZOLE,,INJECTION,OTSUKA,3090.0,,Elhafez Reference 25065
ABILIFY MAINTENA 400 MG I.M. PREFILLED SYRINGE,,,ARIPIPRAZOLE,,INJECTION,OTSUKA,4062.0,,Elhafez Reference 25065
ABIMOL 150MG/5ML SYRUP 125ML,,,PARACETAMOL(ACETAMINOPHEN),,ORAL.LIQUID,GLAXO SMITHKLINE,23.0,,Elhafez Reference 25065
ABIMOL 300MG 5 RECTAL SUPP.,,,PARACETAMOL(ACETAMINOPHEN),,RECTAL,GLAXO SMITHKLINE,15.0,,Elhafez Reference 25065
ABIMOL 500 MG 20 TAB.,,,PARACETAMOL(ACETAMINOPHEN),,ORAL.SOLID,GLAXO SMITHKLINE,24.0,,Elhafez Reference 25065
ABIMOL EXTRA 20 TAB.,,,CAFFEINE+PARACETAMOL(ACETAMINOPHEN),,ORAL.SOLID,GLAXO SMITHKLINE,28.0,,Elhafez Reference 25065
ABIONEM CREAM 60 GM,,,HYALURONIC ACID+COLLAGEN+NIGELLA SATIVA+MENTHOL,,TOPICAL,EL-HELOU PERFUMES & COSMETICS > ALLIANCE PHARMA,20.95,,Elhafez Reference 25065
ABITAL ORAL SPRAY 30 ML,,,MELALEUCA ALTERNIFOLIA EXTRACT+THYMUS EXTRACT+MENTHA PIPERITA EXTRACT+SALVIA OFFICINALIS EXTRACT+PRO,,SPRAY,KATO PRESTIGE COSMETICS > PHARMASERVE,15.0,,Elhafez Reference 25065
ABIVIT-A 50.000 I.U. 20 CAPS. (CANCELLED),,,VITAMIN A,,ORAL.SOLID,GLAXO SMITHKLINE,3.75,,Elhafez Reference 25065
ABRAMMUNE 100MG/ML SYRUP(N/A YET),,,CYCLOSPORIN,,ORAL.LIQUID,AMOUN,410.0,,Elhafez Reference 25065
ABRAMMUNE 25 MG 10 CAPS.(N/A YET),,,CYCLOSPORIN,,ORAL.SOLID,AMOUN,24.0,,Elhafez Reference 25065
ABRAMMUNE 50 MG 10 CAPS.(N/A YET),,,CYCLOSPORIN,,ORAL.SOLID,AMOUN,44.0,,Elhafez Reference 25065
ABRAMMUNE 50MG/ML SYRUP(N/A YET),,,CYCLOSPORIN,,ORAL.LIQUID,AMOUN,220.0,,Elhafez Reference 25065
ABRAXANE 100MG VIAL SS,,,PACLITAXEL PROTEIN-BOUND,,UNKNOWN,CELGENE CORPORATION > EGYPTIAN PHARMACEUTICAL TRADING COMPANY,13280.0,,Elhafez Reference 25065
ABSORBABLE SELENIUM 200 MCG 100 CAPS. (ILLEGAL IMPORT),,,SELENIUM,,ORAL.SOLID,PURITANS PRIDE,31.0,,Elhafez Reference 25065
ABSTAIN SR 150 MG 20TABS.(N/A YET),,,BUPROPION,,ORAL.SOLID,ADWIA,20.0,,Elhafez Reference 25065
ABSTRAL 100MCG 10 SUBLINGUAL TABS.,,,FENTANYL,,ORAL.SOLID,KYOWA KIRIN LIMITED > EGYPTIAN PHARMACEUTICAL TRADING COMPANY,1184.0,,Elhafez Reference 25065
ABSTRAL 200MCG 10 SUBLINGUAL TABS.,,,FENTANYL,,ORAL.SOLID,KYOWA KIRIN LIMITED > EGYPTIAN PHARMACEUTICAL TRADING COMPANY,1184.0,,Elhafez Reference 25065
ABSTRAL 400MCG 10 SUBLINGUAL TABS.,,,FENTANYL,,ORAL.SOLID,KYOWA KIRIN LIMITED > EGYPTIAN PHARMACEUTICAL TRADING COMPANY,1184.0,,Elhafez Reference 25065
ABYLATA  10 PIECES,,,COCOA BUTTER SUBSTITUTE+FULL CREAMY MILK+LECITHIN+COCOA POWDER+STARCH,,UNKNOWN,ORGANIC PHARMA > EUREVITA FOUNDATION,107.0,,Elhafez Reference 25065
ACAI BERRY 60 VEG. CAPS. (NATROL),,,ACAI EXTRACT,,ORAL.SOLID,NATROL,650.0,,Elhafez Reference 25065
ACANTHAPROP 1MG/ML EYE DROPS 10 ML,,,PROPAMIDINE ISETHIONATE,,EYE,ORCHIDIA PHARMACEUTICAL INDUSTRIES,80.0,,Elhafez Reference 25065
ACAPRIL 20MG 20 TAB.,,,ENALAPRIL,,ORAL.SOLID,ALFACURE PHARMACEUTICALS,18.0,,Elhafez Reference 25065
ACAPRIL 5 MG 10 TAB.,,,ENALAPRIL,,ORAL.SOLID,ALFACURE PHARMACEUTICALS,6.75,,Elhafez Reference 25065
ACAVIO MASSAGE GEL 50 GM,,,CAMPHOR+MENTOL CRYSTALS+EUCALYPTUS+ETHANOLOMINE EXTRACT GLYCERIN,,TOPICAL,DREAMS ELHABOBA > RIXOS,70.0,,Elhafez Reference 25065
ACC 200MG 20 SACHETS (N/A),,,ACETYLCYSTEINE,,UNKNOWN,MINA PHARM > HEXAL AG GERMANY,28.0,,Elhafez Reference 25065
ACC LONG 600MG 5 EFFERVESCENT TAB. (N/A),,,ACETYLCYSTEINE,,EFF,MINA PHARM > HEXAL AG GERMANY,19.2,,Elhafez Reference 25065
ACCELAFEN 30 F.C.TABS.,,,VITAMIN B1+VITAMIN B6+VITAMIN B12,,ORAL.SOLID,> TRUE PHARMA,108.0,,Elhafez Reference 25065
ACCENT CREAM 30 GM,,,,,TOPICAL,DELTA PHARMA > PIONEER,30.0,,Elhafez Reference 25065
ACCENT CREAM 50 GM,,,,,TOPICAL,DELTA PHARMA > PIONEER,50.0,,Elhafez Reference 25065
ACCOFIL 30 MIU/0.5ML 5 PREFILLED SYRINGES,,,FILGRASTIM,,INJECTION,ACCORD HEALTHCARE LIMITED > UNITED GROUP UGP,1625.0,,Elhafez Reference 25065
ACCOLATE 20MG 28 TAB.,,,ZAFIRLUKAST,,ORAL.SOLID,ASTRA ZENECA,82.0,,Elhafez Reference 25065
ACDISTERON 25 MG 20 F.C. TABS.,,,MESTEROLONE,,ORAL.SOLID,ACDIMA INTERNATIONAL TRADING,229.0,,Elhafez Reference 25065
ACECLOCOPA 100 MG 20 F.C. TAB.,,,ACECLOFENAC,,ORAL.SOLID,COPAD PHARMA,22.5,,Elhafez Reference 25065
ACECZEMA CREAM 15 GM,,,METHYLPREDNISOLONE ACEPONATE,,TOPICAL,GLOBAL NAPI PHARMACEUTICALS,49.0,,Elhafez Reference 25065
ACELIOFINAZ 100 MG 20 F.C. TAB.,,,ACECLOFENAC,,ORAL.SOLID,AUG > PEOPLE PHARMA,56.0,,Elhafez Reference 25065
ACEMETACIN STADA 60MG 20 CAPS.,,,ACEMETACIN,,ORAL.SOLID,ADWIA > STADA,24.0,,Elhafez Reference 25065
ACENEWRAX 200 MG 10 SACHETS,,,ACETYLCYSTEINE,,EFF,JEDCO INT. CO. FOR PHARMACEUTICALS > ARAX PHARM. IND.,45.0,,Elhafez Reference 25065
ACENEWRAX 600 MG 10 SACHETS,,,ACETYLCYSTEINE,,EFF,JEDCO INT. CO. FOR PHARMACEUTICALS > ARAX PHARM. IND.,44.0,,Elhafez Reference 25065
ACERUMEN EAR SPRAY 40 ML,,,,,EAR,LABORATOIRES GILBERT - FRANCE > UNITED BIONAT,69.0,,Elhafez Reference 25065
ACESOLV 2% SYRUP 60ML,,,ACETYLCYSTEINE,,ORAL.LIQUID,EL-OBOUR > SPIMACO MISR,8.0,,Elhafez Reference 25065
ACETALGAN 1 GM/100ML SOL. FOR I.V. VIAL (N/A),,,PARACETAMOL(ACETAMINOPHEN),,INJECTION,DELTA GRAND PHARMA > AL ANSAR FOR MARKETING,22.5,,Elhafez Reference 25065
ACETAMEX 250 MG 20 TABS.(N/A),,,ACETAZOLAMIDE,,ORAL.SOLID,HI-PHARM,6.0,,Elhafez Reference 25065
ACETAMINOPHEN 125MG PAED. SUPP.U.S.P.XXIII,,,PARACETAMOL(ACETAMINOPHEN),,RECTAL,SEDICO,3.0,,Elhafez Reference 25065
ACETAPAX 14 SACHETS,,,ACETYLCYSTEINE+THYME+CITAMIN C,,EFF,> PAXAL PHARMACEUTICAL,94.5,,Elhafez Reference 25065
ACETAPROFEN 100ML SUSP.,,,IBUPROFEN+PARACETAMOL(ACETAMINOPHEN),,ORAL.LIQUID,KAHIRA,5.0,,Elhafez Reference 25065
ACETAPROFEN 120ML SUSP.,,,IBUPROFEN+PARACETAMOL(ACETAMINOPHEN),,ORAL.LIQUID,KAHIRA,6.75,,Elhafez Reference 25065
ACETASEE 1% EYE DROPS (SUSP.) 5 ML,,,PREDNISOLONE,,EYE,RAMEDA,7.5,,Elhafez Reference 25065
ACETO-V VAGINAL WASH 250 ML,,,CHLORHEXIDINE,,VAGINAL,HI-CARE > INTERPHARMA EGYCARE,37.5,,Elhafez Reference 25065
ACETOFLU COLD AND FLU 20 F.C. TABS.,,,DIPHENHYDRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,,ORAL.SOLID,PHARMED HEALTHCARE > CHEMIDICA,19.0,,Elhafez Reference 25065
ACETOFLU COLD AND FLU SYRUP 100 ML,,,DIPHENHYDRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,,ORAL.LIQUID,RAMEDA > PEOPLE PHARMA,9.75,,Elhafez Reference 25065
ACETOFUL FOR WOMEN 10 TABS.,,,PAMABROM+PARACETAMOL(ACETAMINOPHEN),,ORAL.SOLID,SIGMA > PEOPLE PHARMA,10.5,,Elhafez Reference 25065
ACETOLYTIC 600 MG 10 CAPS.,,,ACETYLCYSTEINE,,ORAL.SOLID,AVERROES PHARMA,71.0,,Elhafez Reference 25065
ACETORPHAN CHILDREN 30MG ORAL SACHET,,,RACECADOTRIL,,UNKNOWN,EPCI,10.0,,Elhafez Reference 25065
ACETORPHAN INFANT 10MG ORAL SACHETS,,,RACECADOTRIL,,EFF,EPCI,5.0,,Elhafez Reference 25065
ACETOTHYME 10 SACHETS,,,N-ACETYL L-CYSTEINE+THYME+VITAMIN C,,EFF,COPAD EGYPT > ADVOCURE PHARMACEUTICALS,65.0,,Elhafez Reference 25065
ACETYLAIR 300 MG 10 SACHETS,,,N-ACETYLCYSTEINE+BROMELAIN EXTRACT+L-ASCORBIC ACID (VITAMIN C)+ZINC,,EFF,ORGANIX > TETRACARE LIMITED,70.0,,Elhafez Reference 25065
ACETYLCISTEIN 200 MG 10 SACHET,,,ACETYLCYSTEINE,,EFF,SEDICO,55.0,,Elhafez Reference 25065
ACETYLCISTEIN 600 MG 10 EFF. INSTANT GRAN. SACHETS,,,ACETYLCYSTEINE,,EFF,SEDICO,70.0,,Elhafez Reference 25065
ACETYLCYSTDAR 600 MG 12 EFF. TABS.,,,ACETYLCYSTEINE,,EFF,CID > PHARMADAR,70.0,,Elhafez Reference 25065
ACETYLCYSTEINE VITA C 10 SACHETS,,,ACETYLCYSTEINE 300MG+VITAMIN C 500MG,,EFF,DULEXLAB > AVANTIC,95.0,,Elhafez Reference 25065
ACETYLEX 10 SACHETS,,,ACETYLCYSTEINE,,EFF,ORCHIDIA PHARMACEUTICAL INDUSTRIES > ORCHIDIA,120.0,,Elhafez Reference 25065
ACETYLOVAN SYRUP 100 ML,,,N ACETYL CYSTEINE+IVY+VITAMIN C+PROPOLIS+MSM,,ORAL.LIQUID,ORGANIX FOR DIETARY SUPPLEMENTS > PHYTOMED PHARMA,75.0,,Elhafez Reference 25065
ACHTENON 2 MG 20 TABS.,,,BIPERIDENE,,ORAL.SOLID,ARAB DRUG COMPANY (ADCO),51.0,,Elhafez Reference 25065
ACHTENON 2 MG 30 TABS.,,,BIPERIDENE,,ORAL.SOLID,ARAB DRUG COMPANY (ADCO),51.0,,Elhafez Reference 25065
ACICLOVIR VIATRIS 250 MG 5 VIALS,,,ACYCLOVIR,,INJECTION,REIG JOFRE > VIATRIS,530.0,,Elhafez Reference 25065
ACICLOVIR VIATRIS 500 MG 5 VIALS,,,ACYCLOVIR,,INJECTION,REIG JOFRE > VIATRIS,755.0,,Elhafez Reference 25065
ACICONE 720 MG 20 CHEW. TAB.,,,MAGALDRATE,,ORAL.SOLID,MUP,28.5,,Elhafez Reference 25065
ACICONE SUSP. 120ML,,,MAGALDRATE,,ORAL.LIQUID,MUP,22.0,,Elhafez Reference 25065
ACICONE SUSP. 200 ML (N/A),,,MAGALDRATE,,ORAL.LIQUID,MUP,7.5,,Elhafez Reference 25065
ACICONE-S 720/25MG 20 CHEW. TAB.,,,MAGALDRATE+SIMETHICONE,,ORAL.SOLID,MUP,25.0,,Elhafez Reference 25065
ACICONE-S ORAL SUSP. 120ML,,,MAGALDRATE+SIMETHICONE,,ORAL.LIQUID,MUP,16.5,,Elhafez Reference 25065
ACICONE-S ORAL SUSP. 200ML (N/A),,,MAGALDRATE+SIMETHICONE,,ORAL.LIQUID,MUP,8.0,,Elhafez Reference 25065
ACIDIPAN ORAL SUSP. 180 ML,,,ALUMINIUM HYDROXIDE+MAGNESIUM HYDROXIDE+SIMETHICONE,,ORAL.LIQUID,WESTERN PHARMACEUTICALS INDUSTRIES > WESTERN PHARMA,33.0,,Elhafez Reference 25065
ACIDOPHILUS PROBIOTIC 150 TABS. (NATROL),,,LACTOBACILLUS ACIDOPHILUS+PROBIOTICS,,ORAL.SOLID,NATROL,750.0,,Elhafez Reference 25065
ACIGLOTIR 250 MG LYOPH. PD. FOR IV INF. 5 VIALS,,,ACYCLOVIR,,INJECTION,GLOBAL PHARMACEUTICAL INDUSTRIES,530.0,,Elhafez Reference 25065
ACIGLOTIR 500 MG LYOPH. PD. FOR IV INF. 5 VIALS,,,ACYCLOVIR,,INJECTION,GLOBAL PHARMACEUTICAL INDUSTRIES,755.0,,Elhafez Reference 25065
ACIK CREAM 50 GM,,,SALICYLIC ACID+LAVENDER OIL+WITCH HAZEL EXTRACT+RETINOL+LACTIC ACID+PROPOLIS EXTRACT+TEA TREE OIL+THYME OIL+PANTHENOL+VITAMIN E+SULFUR,,TOPICAL,DREAMS EL HABBOBA > NOVOGEN,85.0,,Elhafez Reference 25065
ACILIGHT 150MG 30 FILM COATED TAB. (CANCELLED),,,RANITIDINE,,ORAL.SOLID,EL-OBOUR,29.25,,Elhafez Reference 25065
ACILIGHT 75MG 20 COATED TAB. (CANCELLED),,,RANITIDINE,,ORAL.SOLID,EL-OBOUR,15.0,,Elhafez Reference 25065
ACILOC 150MG EFF.GRANULES 5 SACHETS (CANCELLED),,,RANITIDINE,,EFF,SIGMA,7.5,,Elhafez Reference 25065
ACILOC 300MG 20 F.C. TABS. (CANCELLED),,,RANITIDINE,,ORAL.SOLID,SIGMA,33.84,,Elhafez Reference 25065
ACILOC 75 MG 20 F.C. TABS. (CANCELLED),,,RANITIDINE,,ORAL.SOLID,SIGMA,15.0,,Elhafez Reference 25065
ACITRETIN 10MG 30 CAPS.,,,ACITRETIN,,ORAL.SOLID,KAHIRA > SABAA,87.0,,Elhafez Reference 25065
ACITRETIN 25MG 30 CAPS.,,,ACITRETIN,,ORAL.SOLID,KAHIRA > SABAA,135.0,,Elhafez Reference 25065
ACIVIRAX 400MG 30 TABS.,,,ACYCLOVIR,,ORAL.SOLID,MASH PREMIERE,162.0,,Elhafez Reference 25065
ACIVIRAX 800MG 20 TABS.,,,ACYCLOVIR,,ORAL.SOLID,MASH PREMIERE,154.0,,Elhafez Reference 25065
ACLASTA 5MG/100ML SOLN. FOR I.V. INF. VIAL,,,ZOLEDRONIC ACID,,INJECTION,SANDOZ,1860.0,,Elhafez Reference 25065
ACLESS SOAP 100 GM,,,,,SOAP,HI-CARE > NP PHARMACEUTICALS,60.0,,Elhafez Reference 25065
ACNE BENZ TOPICAL GEL 30 GM (N/A),,,BENZOYL PEROXIDE+ERYTHROMYCIN,,TOPICAL,GLOBAL NAPI PHARMACEUTICALS,16.2,,Elhafez Reference 25065
ACNE BIOTIC PAINT 15 ML,,,ERYTHROMYCIN+ZINC ACETATE,,UNKNOWN,ARAB DRUG COMPANY. > APC (ARAB PERFUMES CHEMICALS AND PHARMACEUTICAL CO.),29.0,,Elhafez Reference 25065
ACNE FREE 0.025% GEL 30 GM (N/A),,,TRETINOIN,,TOPICAL,AMOUN,5.9,,Elhafez Reference 25065
ACNE FREE 0.05% CREAM 30 GM,,,TRETINOIN,,TOPICAL,AMOUN,27.0,,Elhafez Reference 25065
ACNE ZINC TOPICAL SOLUTION 20 ML,,,ERYTHROMYCIN+ZINC ACETATE,,UNKNOWN,PHARCO,23.5,,Elhafez Reference 25065
ACNE-JED 0.1% TOPICAL GEL 15 GM,,,ADAPALENE,,TOPICAL,JEDCO INT. CO. FOR PHARMACEUTICALS,16.0,,Elhafez Reference 25065
ACNE-STOP CREAM 30 GM,,,OLEANOLIC ACID+NDGA (NORDIHYDROGUAIARETIC ACID)+PROPOLIS+OSMOTIC GEL,,TOPICAL,MASH PREMIERE,80.0,,Elhafez Reference 25065
ACNE-STOP FACIAL WASH 250 ML,,,OLEANOLIC ACID+NDGA (NORDIHYDROGUAIARETIC ACID)+PROPOLIS+OSMOTIC GEL,,TOPICAL,MASH PREMIERE,130.0,,Elhafez Reference 25065
ACNE-STOP SYSTEM (CREAM+WASH),,,OLEANOLIC ACID+NDGA (NORDIHYDROGUAIARETIC ACID)+PROPOLIS+OSMOTIC GEL,,TOPICAL,MASH PREMIERE,200.0,,Elhafez Reference 25065
ACNEBLESS CREAM 50 GM,,,,,TOPICAL,KEMPETRO FOR CHEMICAL INDUSTRIES > NOVELL PHARMA,110.0,,Elhafez Reference 25065
ACNEBLESS FACIAL CLEANSING FOAMING GEL 200 ML,,,,,TOPICAL,KEMPETRO FOR CHEMICAL INDUSTRIES > NOVELL PHARMA,150.0,,Elhafez Reference 25065
ACNEBLESS FACIAL GEL 50 ML,,,,,TOPICAL,KEMPETRO FOR CHEMICAL INDUSTRIES > NOVELL PHARMA,115.0,,Elhafez Reference 25065
ACNEFENCE TOPICAL GEL 50 GM,,,GLYCOLIC ACID+SALICYLIC ACID+GREEN TEA EXTRACT+CHAMOMILE+RETINYL PALMITATE+VITAMIN E+ASCORBIC ACID,,TOPICAL,EL-HELOU PERFUMES & COSMETICS > CAPITAL PHARMA,37.0,,Elhafez Reference 25065
ACNELOFIX 20 MG 20 CAPS.,,,ISOTRETINOIN,,ORAL.SOLID,MELANO PHARMA,270.0,,Elhafez Reference 25065
ACNESCAVE 0.1% TOPICAL GEL 30 GM,,,ADAPALENE,,TOPICAL,BIOPHARM > SAJA PHARMA,37.0,,Elhafez Reference 25065
ACNESEPT 80 GRAM SOAP,,,TRICLOSAN(IRGASAN)+TEGOBETAIN+CITRIC ACID+SULPHUR PPT.+SALICYLIC ACID+MENTHOL+ZINC OXIDE+LEMON OIL,,SOAP,ZAYTONA EGYPT,4.75,,Elhafez Reference 25065
ACNESOL SOAP 100 GM,,,,,SOAP,UNITED ALLAM FACTORY >,8.5,,Elhafez Reference 25065
ACNESONE LOTION 60 ML,,,CALAMINE+HYDROCORTISONE+SULPHUR,,UNKNOWN,GLOBAL NAPI PHARMACEUTICALS,8.5,,Elhafez Reference 25065
ACNETIN- A 0.025% TOPICAL GEL 30 GM,,,TRETINOIN,,TOPICAL,SIGMA,9.0,,Elhafez Reference 25065
ACNETIN- A 0.05% CREAM 30 GM,,,TRETINOIN,,TOPICAL,SIGMA,9.0,,Elhafez Reference 25065
ACNETIN- A 0.05% TOPICAL SOL. 15 ML,,,TRETINOIN,,UNKNOWN,SIGMA,6.0,,Elhafez Reference 25065
ACNETROX 1% TOPICAL CREAM 25 GM,,,NADIFLOXACIN,,TOPICAL,EVA PHARMA,43.0,,Elhafez Reference 25065
ACNEVERA SOAP 80 GM,,,ALOE VERA+ZINC OXIDE+SALICYLIC ACID+SULPHUR+RESORCINOL,,SOAP,HI-CARE > ROVAMED PHARMA,65.0,,Elhafez Reference 25065
ACNEVIT ANTI-ACNE CLEANSING GEL 200 ML,,,,,TOPICAL,ALPAYA DERMACEUTICALS > VAMER PHARMA,230.0,,Elhafez Reference 25065
